YEAR,COUNTY,NUMBER_OF_ED_VISITS,AGE_ADJUSTED_ED_VISIT_RATE,AGE
2018,Plumas,32,52.650000000000006,adult
2018,Riverside,5530,34.190000000000005,adult
2018,Riverside,3206,54.824,child
2018,Sacramento,6647,61.7952380952381,adult
2018,Sacramento,2757,84.13513513513513,child
2018,San Benito,191,51.6,adult
2018,San Benito,92,64.6,child
2018,San Bernardino,6295,43.401886792452835,adult
2018,San Bernardino,3666,66.69777777777777,child
2018,San Diego,5598,21.614666666666665,adult
2018,San Diego,3485,48.7955223880597,child
2018,San Francisco,1865,30.504545454545454,adult
2018,San Francisco,871,72.8578947368421,child
2018,San Joaquin,2965,59.050000000000004,adult
2018,San Joaquin,1436,73.44090909090909,child
2018,San Luis Obispo,424,28.516666666666666,adult
2018,San Luis Obispo,156,47.0375,child
2018,San Mateo,1345,24.568421052631578,adult
2018,San Mateo,619,41.976470588235294,child
2018,Santa Barbara,717,22.96153846153846,adult
2018,Santa Barbara,391,47.6,child
2018,Santa Clara,3449,30.338297872340423,adult
2018,Santa Clara,1372,33.097297297297295,child
2018,Santa Cruz,470,23.93,adult
2018,Santa Cruz,184,38.92,child
2018,Shasta,388,34.699999999999996,adult
2018,Shasta,146,50.239999999999995,child
2018,Siskiyou,72,33.1,adult
2018,Siskiyou,12,57.7,child
2018,Solano,2319,69.45454545454545,adult
2018,Solano,1010,104.94000000000001,child
2018,Sonoma,1199,34.04375,adult
2018,Sonoma,451,47.56428571428571,child
2018,Stanislaus,1771,43.833333333333336,adult
2018,Stanislaus,1017,75.3375,child
2018,Sutter,165,26.433333333333334,adult
2018,Sutter,95,44.46666666666667,child
2018,Tehama,162,50.1,adult
2018,Tehama,83,76.55,child
2018,Trinity,21,90.3,adult
2018,Tulare,746,28.633333333333336,adult
2018,Tulare,700,58.61666666666667,child
2018,Tuolumne,164,53.120000000000005,adult
2018,Tuolumne,27,59.6,child
2018,Ventura,1457,24.195238095238093,adult
2018,Ventura,906,45.37777777777777,child
2018,Yolo,509,33.628571428571426,adult
2018,Yolo,250,56.58571428571428,child
2018,Yuba,217,42.46666666666667,adult
2018,Yuba,94,52.85,child
2019,Alameda,5051,42.693023255813955,adult
2019,Alameda,2258,74.08684210526316,child
2019,Amador,103,49.175,adult
2019,Amador,12,68.3,child
2019,Butte,535,37.625,adult
2019,Butte,169,45.800000000000004,child
2019,Calaveras,96,64.03999999999999,adult
2019,Calaveras,29,96.0,child
2019,Colusa,24,43.5,adult
2019,Colusa,27,65.65,child
2019,Contra Costa,3920,41.53142857142857,adult
2019,Contra Costa,1877,71.71538461538461,child
2019,Del Norte,72,42.6,adult
2019,Del Norte,30,64.0,child
2019,El Dorado,322,38.25714285714286,adult
2019,El Dorado,84,37.56666666666667,child
2019,Fresno,2916,49.00588235294118,adult
2019,Fresno,3462,122.99090909090908,child
2019,Glenn,59,30.15,adult
2019,Glenn,32,76.2,child
2019,Humboldt,384,54.4,adult
2019,Humboldt,87,54.2,child
2019,Imperial,549,42.699999999999996,adult
2019,Imperial,563,121.06666666666666,child
2019,Inyo,41,42.6,adult
2019,Inyo,25,92.2,child
